#	Id	ClassId	NameStringId	LevelDesignGroupId		MissionGroupPresetId	MissionGrooupIndex					MissionLV		UIDisplayType	CanReDoThisMission	RegularMissonPresetId	ChildrenMissionPresetId1	ChildrenMissionPresetId2	ChildrenMissionPresetId3	ChildrenMissionPresetId4	LevelDesignID	MainID	SubID	StartMissionScript 	EndMissionScript	BelongToMissionId	MissionItemIdOnAcceptMission1	MissionItemCountOnAcceptMission1	MissionItemIdOnAcceptMission2	MissionItemCountOnAcceptMission2	MissionItemIdOnAcceptMission3	MissionItemCountOnAcceptMission3	MissionItemIdOnAcceptMission4	MissionItemCountOnAcceptMission4	AcceptMissionNPCID		AcceptMissionLevelDesignId		ReturnMissionNPCID	ReturnMissionPosition		ReturnMissionLevelDesignId		CompleteMissionCausalityStringStartId	CompleteMissionCausalityStringEndId	MissionTargetStringId	MissionTargetLevelDesignId	MissionTargetPosition	MissionDescStringID	AcceptConversationID	UnFinishMissionAcceptID	UnFinishMissionReturnID	ReturnConversationID	RewardExp			RewardGP	RewardPrestige	RewardSkillId	RewardLimit	RewardID1	RewardCount1	RewardRate1	RewardID2	RewardCount2	RewardRate2	RewardID3	RewardCount3	RewardRate3	RewardID4	RewardCount4	RewardRate4	RewardID5	RewardCount5	RewardRate5	Visible	GfxId	AutoShare	bMainMission							
#	Id																																																									30%																						21					20	
#	Id	Class 編號	名稱StringID	關卡群組	任務名稱（10字）	屬於哪一個任務群組	在任務群組的第幾個順位	所在關卡(動物城)	任務類型	人數類型	重接	任務樹承接等級顯示	任務難度等級	UI顯示類別	是否可以重覆解	制式任務追蹤編號	附屬子任務1	附屬子任務2	附屬子任務3	附屬子任務4	開啟LevelDesign	主標記	副標記	開始Script	結束Script 	"所屬任務
(步驟)"	承接任務時獲得的物品編號1	承接任務時獲得的物品數量1	承接任務時獲得的物品編號2	承接任務時獲得的物品數量2	承接任務時獲得的物品編號3	承接任務時獲得的物品數量3	承接任務時獲得的物品編號4	承接任務時獲得的物品數量4	接任務NPC	接任務NPC	接任務地點	接任務地點	還任務NPC	"任務追蹤
還任務NPC座標"	還任務NPC	還任務地點	還任務地點	任務目標String起始編號	任務目標String結尾編號	"任務追蹤
任務對象String"	"任務追蹤
對象所在關卡"	"任務追蹤
對象座標"	任務描述	接任務對話	任務提示(接取NPC)	任務提示(回報NPC)	還任務對話	獎勵Exp	修正以前獎勵Exp	任務種類備註	獎勵 GP	獎勵聲望	獎勵 技能	獎勵物品數量上限	"獎勵1物品
裝備飾品"	獎勵1數量	獎勵1機率	"獎勵2物品
藥水"	獎勵2數量	獎勵2機率	"獎勵3物品
武卷卷軸"	獎勵3數量	獎勵3機率	"獎勵4物品
防卷卷軸"	獎勵4數量	獎勵4機率	"獎勵5物品
傳卷復活"	獎勵5數量	獎勵5機率	顯示	圖檔	自動分享	主線與否	任務所需時間(秒)	目標怪物EXP	怪物擊殺目標隻數	殺夠怪物須過關次數	單級關卡GP參考	獎勵GP計算	原始排序
#關卡隨選任務																																																																																						1
	1	9300	2000001	1	英雄初試煉	0	0	梁山泊基地	不重複：特殊	0	否	1	1	0	0	1						1	0	Mission1Start	Mission1End										40002	智多星 吳用	2	梁山泊基地	40002	1727 -100 259	智多星 吳用	2	梁山泊基地	8000001	8000001	3000001	2	1540 -100 190	8010001	8020001	8020002		8020003	0		打怪	0	0		1	30019	1	9000	30007	1	9000	30022	1	1000	30023	1	1000	30029	1	5000						0	0		400	20	2
	2	9300	2000002	3	擊敗假面蝗蟲	0	0	LV   1  出征！兔城平原戰	副本重複：殺怪數	1	是	20	20	0	1	2						2	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000002	8000004	8040029				8020004	8020005		8020006	6	1232	副本	184	4		1	30002	2	8000	30008	2	8000	30002	10	1000	30008	10	1000	30029	1	5000					120	3	20	1	"89,950"	"4,500"	3
	3	9300	2000003	3	擊敗白兔隊長	0	0	LV   1  出征！兔城平原戰	副本重複：殺怪數	1	是	20	20	0	1	3						3	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000003	8000003	8040029				8020007	8020008		8020009	6	150	副本	13	4		1	30002	2	8000	30008	2	8000	30002	10	1000	30008	10	1000	30029	1	5000					30	61	1	1	"89,950"	"4,500"	4
	4	9300	2000004	4	擊退邪惡刺蝟軍團	0	0	LV   5  神祕迴旋林之戰	副本重複：殺怪數	1	是	20	20	0	1	4						4	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000004	8000004	8040029				8020010	8020011		8020012	474	1154	副本	160	332		1	30002	2	8000	30008	2	8000	30002	10	1000	30008	10	1000	30029	1	5000					90	316	15	1	"89,950"	"4,500"	5
	5	9300	2000005	4	蒐集優質紅蘿蔔	0	0	LV   5  神祕迴旋林之戰	副本重複：其他（對話、跑腿）	1	是	20	20	0	1	5						5	0		Mission5End										40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000005	8000005	8040029				8020013	8020014		8020015	7185	1332	副本	200	5030		1	30002	2	8000	30008	2	8000	30002	10	1000	30008	10	1000	30029	1	5000					60	0	20	1	"89,950"	"4,500"	6
	6	9300	2000006	6	解救受困的葫蘆砲車	0	0	LV   8  迷霧谷之戰	副本重複：其他（對話、跑腿）	1	是	25	25	0	1	6						6	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000006	8000006	8040029				8020016	8020017		8020018	7139	23200	副本	34500	4997		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					100	0	10	3	"178,594"	"8,930"	7
	7	9300	2000007	6	解救受困村民	0	0	LV   8  迷霧谷之戰	副本重複：其他（對話、跑腿）	0	是	25	25	0	1	7						7	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000007	8000007	8040029				8020019	8020020		8020021	7139	6978	副本	1035	4997		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					30	0	0	1	"178,594"	"8,930"	8
	8	9300	2000008	8	擊破城門	0	0	LV 11  突破！兔王領域攻入戰	副本重複：其他（對話、跑腿）	1	是	25	25	0	1	8						8	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000008	8000008	8040029				8020022	8020023		8020024	7139	13920	副本	2052	4997		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					60	0	1	1	"178,594"	"8,930"	9
	9	9300	2000009	8	擊破砲台	0	0	LV 11  突破！兔王領域攻入戰	副本重複：其他（對話、跑腿）	1	是	25	25	0	1	9						9	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000009	8000009	8040029				8020025	8020026		8020027	7139	27840	副本	4104	4997		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					120	0	10	1	"178,594"	"8,930"	10
	10	9300	2000010	11	收集傳家寶玉	0	0	LV 17 (魔王) Boss戰~決勝兔王要塞	副本重複：殺怪數	1	是	30	30	0	1	10						10	0		Mission10End										40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000010	8000010	8040029			8010002	8020028	8020029		8020030	1335	17046	副本	2544	935		1	30002	4	8000	30008	4	8000	30022	1	1000	30023	1	1000	30029	1	5000					60	"1,335"	10	1	"334,602"	"16,730"	11
	11	9300	2000011	11	擊敗野蠻戰兔	0	0	LV 17 (魔王) Boss戰~決勝兔王要塞	副本重複：殺怪數（多次）	1	是	30	30	0	1	11						11	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000011	8000011	8040029				8020031	8020032		8020033	2711	2200	副本	200	1898		1	30002	4	8000	30008	4	8000	30022	1	1000	30023	1	1000	30029	1	5000					100	"1,205"	15	2	"334,602"	"16,730"	12
	12	9300	2000012	5	擊倒戰熊	0	0	LV   5  村長的求救	副本重複：其他（對話、跑腿）	1	是	25	25	0	1	12						12	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000012	8000012	8040029				8020034	8020035		8020036	7139	706	副本	5175	4997		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					150	983	10	1	"178,594"	"8,930"	13
	13	9300	2000013	5	擊倒圓球嘟嘟	0	0	LV   5  村長的求救	副本重複：殺怪數	1	是	25	25	0	1	13						13	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000013	8000013	8040029				8020037	8020038		8020039	85	416	副本	150	60		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					30	853	1	1	"178,594"	"8,930"	14
	14	9300	2000014	7	擊倒蒙面兔	0	0	LV   8   密林裡的大仙	副本重複：殺怪數	1	是	25	25	0	1	14						14	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000014	8000014	8040029				8020040	8020041		8020042	106	1194	副本	131	74		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					60	106	10	1	"178,594"	"8,930"	15
	15	9300	2000015	7	收集大蘿蔔	0	0	LV   8   密林裡的大仙	副本重複：其他（對話、跑腿）	1	是	25	25	0	1	15						15	0		Mission15End										40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000015	8000015	8040029				8020043	8020044		8020045	7139	1500	副本	200	4997		1	30002	3	8000	30008	3	8000	30002	10	1000	30008	10	1000	30029	1	5000					250	0	50	1	"178,594"	"8,930"	16
	16	9300	2000016	9	擊倒野蠻紅兔隊長	0	0	LV 11  迷霧的逆襲	副本重複：殺怪數（多次）	1	是	30	30	0	1	16						16	0												40003	兔城任務	3	第一主城	40003	4060 0 1830	兔城任務	3	第一主城	8000016	8000016	8040029				8020046	8020047		8020048	3887	6441	副本	294	2721		1	30002	4	8000	30008	4	8000	30022	1	1000	30023	1	1000	30029	1	5000					240	"2,591"	10	2	"334,602"	"16,730"	17
