	Id	ClassId			IsLanguageDependent	FilePath
#	項目編號	種類編號	名稱	LevelDesign	語言版編號	檔案位置
	1	9150	裝甲兔兵攻擊	6	0	LV0006_1.bik
	2	9150	毒霧兔王出場	6	0	LV0006_2.bik
	3	9150	宋江被俘(跳繩)	7	0	LV0007_1.bik
	4	9150	片頭動畫	opening	0	opening.bik
	5	9150	跳跳出場	12	0	LV0012_1.bik
	6	9150	眾象奔騰出場	18	0	LV0018_1.bik
	7	9150	小飛出場	22	0	LV0022_1.bik
	8	9150	木樁輪機出場	23	0	LV0023_1.bik
	9	9150	香蕉發射要塞出場	17	0	LV0017_1.bik
	10	9150	老蜥蜴王登場	19	0	LV0019_1.bik
	11	9150	胖胖象布汀登場	21	0	LV0021_1.bik
	12	9150	坦克象王登場	24	0	LV0024_1.bik
	13	9150	村民被奴役中	23	0	LV0023_2.bik
	14	9150	捲笛象王出場	25	0	LV0025_1.bik
	15	9150	宋江被彪王囚禁	30	0	LV0030_1.bik
	16	9150	雙囍蠍鑽出沙漠地面	36	0	LV0036_1.bik
	17	9150	雙囍蠍鑽入沙漠地面	36	0	LV0036_2.bik
	18	9150	貓王夾尾逃走	39	0	LV0039_1.bik
	19	9150	黑虎哥出場	32	0	LV0032_1.bik
