#	Id	ClassId	MissionType	EmblematizeType	EmblematizeCount	ShareMode	MainId	NPCPresetId	NPCCount	ItemListPresetId	ItemCount	Rank	Prestige
#	編號	Class 編號	"0. 殺怪完成
1. 殺怪獲得物品
2. 持有物品完成任務(任何管道)
3. 獲得Emblematize完成任務
4.聲望官階滿足時"	"0.計數使用
1.當作遮罩
"	"EmblematizeType 0：填入數字1-255
EmblematizeType 1：填入2進位數字1、3、7、15、31、63、127、255，可做排列運用。
"	"任務分享類型 
0 .只能自己分享
 1.同一個場景隊友可以分享
 2.同一個場景的玩家可以分享"	主標記編號	怪物Preset Id	怪物數量	物品編號	物品數量	官階限制	 聲望限制
	1	9301	2			0	1			20001	1		
	2	9301	0			1	2	2	20				
	3	9301	0			1	3	4	1				
	4	9301	0			1	4	15	15				
	5	9301	1			1	5	64		20060	20		
	6	9301	0			1	6	30261	10				
	7	9301	0			0	7	61001	0				
	8	9301	0			1	8	30224	1				
	9	9301	0			1	9	30913	10				
	10	9301	1			1	10	50		20004	10		
	11	9301	0			1	11	51	15				
	12	9301	0			1	12	30963	10				
	13	9301	0			1	13	13	1				
	14	9301	0			1	14	23	10				
	15	9301	1			1	15	65		20061	50		
	16	9301	0			1	16	36	10				
	17	9301	0			1	17	30964	10				
	18	9301	0			1	18	48	10				
	19	9301	0			1	19	49	1				
	20	9301	0			1	20	2105	20				
	21	9301	0			1	21	30266	1				
	22	9301	0			1	22	2401	100				
	23	9301	0			1	23	2402	100				
	24	9301	0			1	24	2709	30				
	25	9301	0			1	25	2710	30				
	26	9301	0			1	26	3003	15				
	27	9301	0			1	27	3009	15				
	28	9301	1			1	28	30269		20007	10		
	29	9301	0			1	29	2306	10				
	30	9301	0			1	30	2601	100				
	31	9301	0			1	31	2609	10				
	32	9301	0			1	32	2904	25				
	33	9301	0			1	33	2906	15				
	34	9301	0			1	34	3208	30				
	35	9301	0			1	35	3209	10				
	36	9301	0			1	36	3301	10				
	37	9301	0			0	37	61001	0				
	38	9301	0			0	38	61001	0				
	39	9301	0			0	39	61001	0				
	40	9301	0			0	40	61001	0				
	41	9301	0			0	41	61001	0				
	42	9301	0			0	42	61001	0				
	43	9301	0			0	43	61001	0				
	44	9301	0			0	44	61001	0				
	45	9301	0			0	45	61001	0				
	46	9301	0			0	46	61001	0				
	47	9301	0			0	47	61001	0				
	48	9301	0			0	48	61001	0				
	49	9301	0			0	49	61001	0				
	50	9301	0			0	50	61001	0				
	51	9301	0			0	51	61001	0				
	52	9301	0			0	52	61001	0				
	53	9301	0			0	53	61001	0				
	54	9301	0			0	54	61001	0				
	55	9301	0			0	55	61001	0				
	56	9301	0			0	56	61001	0				
	57	9301	0			0	57	61001	0				
	58	9301	0			0	58	61001	0				
	59	9301	0			0	59	61001	0				
	60	9301	0			0	60	61001	0				
	61	9301	0			0	61	61001	0				
	62	9301	0			0	62	61001	0				
	63	9301	0			0	63	61001	0				
	64	9301	0			0	64	61001	0				
	65	9301	0			0	65	61001	0				
	66	9301	0			0	66	61001	0				
	67	9301	0			0	67	61001	0				
	68	9301	0			0	68	61001	0				
	69	9301	0			0	69	61001	0				
	70	9301	0			0	70	61001	0				
	71	9301	0			0	71	61001	0				
	72	9301	0			0	72	61001	0				
	73	9301	0			0	73	61001	0				
	74	9301	0			0	74	61001	0				
	75	9301	0			0	75	61001	0				
	76	9301	0			0	76	61001	0				
	77	9301	0			0	77	61001	0				
	78	9301	0			0	78	61001	0				
	79	9301	0			0	79	61001	0				
	80	9301	0			0	80	61001	0				
	81	9301	0			0	81	61001	0				
	82	9301	0			0	82	61001	0				
	83	9301	0			0	83	61001	0				
	84	9301	0			0	84	61001	0				
	85	9301	0			0	85	61001	0				
	86	9301	0			0	86	61001	0				
	87	9301	0			0	87	61001	0				
	88	9301	0			0	88	61001	0				
	89	9301	0			0	89	61001	0				
	90	9301	0			0	90	61001	0				
	91	9301	0			0	91	61001	0				
	92	9301	0			0	92	61001	0				
	93	9301	0			0	93	61001	0				
	94	9301	0			0	94	61001	0				
	95	9301	0			0	95	61001	0				
	96	9301	0			0	96	61001	0				
	97	9301	0			0	97	61001	0				
	98	9301	0			0	98	61001	0				
	99	9301	0			0	99	61001	0				
	100	9301	0			0	100	61001	0				
	101	9301	3	1	7	0	101						
	102	9301	3	1	7	0	102						
	103	9301	3	0	1	0	103						
	104	9301	3	0	1	0	104						
	105	9301	3	0	1	0	105						
	106	9301	3	1	255	0	106						
	107	9301	0			1	107	30278	13				
	108	9301	3	0	100	0	108						
	109	9301	0			1	109	20423	1				
	110	9301	0			1	110	50010	1				
	111	9301	4			0	111					1	3340
	112	9301	4			0	112					2	20500
	113	9301	4			0	113					3	79700
	114	9301	4			0	114					4	254000
	115	9301	4			0	115					5	586000
	116	9301	4			0	116					6	1143000
	117	9301	4			0	117					7	2006000
	118	9301	4			0	118					8	3210000
	119	9301	4			0	119					9	4820000
	120	9301	4			0	120					10	6890000
	121	9301	4			0	121					11	12470000
	122	9301	0			0	122	61001	0				
	123	9301	0			0	123	61001	0				
	124	9301	0			0	124	61001	0				
	125	9301	0			0	125	61001	0				
	126	9301	0			0	126	61001	0				
	127	9301	0			0	127	61001	0				
	128	9301	0			0	128	61001	0				
	129	9301	0			0	129	61001	0				
	130	9301	0			0	130	61001	0				
	131	9301	3	0	4	0	131						
	132	9301	3	0	8	0	132						
	133	9301	3	0	9	0	133						
	134	9301	3	0	11	0	134						
	135	9301	3	0	8	0	135						
	136	9301	3	0	9	0	136						
	137	9301	3	0	11	0	137						
	138	9301	3	0	4	0	138						
	139	9301	3	0	8	0	139						
	140	9301	3	0	9	0	140						
	141	9301	3	0	11	0	141						
	142	9301	3	0	8	0	142						
	143	9301	3	0	9	0	143						
	144	9301	3	0	11	0	144						
	145	9301	2			0	145			20063	10		
	146	9301	2			0	146			30023	4		
	147	9301	0			0	147	61001	0				
	148	9301	2			0	148			20069	30		
	149	9301	2			0	149			20065	15		
	150	9301	2			0	150			30023	10		
	151	9301	0			0	151	61001	0				
	152	9301	2			0	152			20070	40		
	153	9301	2			0	153			20062	20		
	154	9301	2			0	154			30023	20		
	155	9301	0			0	155	61001	0				
	156	9301	2			0	156			20071	50		
	157	9301	2			0	157			20064	20		
	158	9301	2			0	158			30023	20		
	159	9301	0			0	159	61001	0				
	160	9301	2			0	160			20072	60		
	161	9301	2			0	161			20066	1		
	162	9301	2			0	162			20067	1		
	163	9301	2			0	163			20068	1		
	164	9301	0			0	164	61001	0				
	165	9301	0			0	165	61001	0				
	166	9301	0			0	166	61001	0				
	167	9301	0			0	167	61001	0				
