#	Id	ClassId		Name		DescStringId	IsLanguageDependent	FilePath	
	項目編號	種類編號	類型	名稱		說明文字編號	語言版編號	檔案位置	檔名編號
#PC共用音效								PC00/PC00_	
	40	9000	共用	衝刺				PC00/PC00_00040.wav	00040
	50	9000	共用	倒地				PC00/PC00_00050.wav	00050
	52	9000	共用	爬起				PC00/PC00_00052.wav	00052
	80	9000	共用	跳起中				PC00/PC00_00080.wav	00080
	2010	9000	共用	一般攻擊連招1(未命中)				PC00/PC00_02010.wav	02010
	2020	9000	共用	一般攻擊連招2(未命中)				PC00/PC00_02020.wav	02020
	2030	9000	共用	一般攻擊連招3(未命中)				PC00/PC00_02030.wav	02030
	2032	9000	共用	一般攻擊連招4(未命中)				PC00/PC00_02032.wav	02032
	4010	9000	共用	被擊中				PC00/PC00_04010.wav	04010
	6000	9000	共用	TKO				PC00/PC00_06000.wav	06000
	6210	9000	共用	共用技能1(加攻防爆)				PC00/PC00_06210.wav	06210
	6220	9000	共用	共用技能2(急救)				PC00/PC00_06220.wav	06220
	6230	9000	共用	共用技能3(煙霧彈)				PC00/PC00_06230.wav	06230
#林沖音效			林沖					PC01/PC01_	
#			林沖					.wav	
	10030	9000	林沖	移動				PC01/PC01_00030.wav	00030
	12010	9000	林沖	一般攻擊連招1(未命中)				PC01/PC01_02010.wav	02010
	12020	9000	林沖	一般攻擊連招2(未命中)				PC01/PC01_02020.wav	02020
	12030	9000	林沖	一般攻擊連招3(未命中)				PC01/PC01_02030.wav	02030
	12033	9000	林沖	一般攻擊連招4(未命中)				PC01/PC01_02033.wav	02033
	16010	9000	林沖	技能1-機關槍				PC01/PC01_06010.wav	06010
	16021	9000	林沖	技能3-暴風槍				PC01/PC01_06021.wav	06021
	16031	9000	林沖	技能4-旋風踢				PC01/PC01_06031.wav	06031
	16032	9000	林沖	技能5-亂槍掃射				PC01/PC01_06032.wav	06032
	16060	9000	林沖	技能6-螺旋飛彈				PC01/PC01_06060.wav	06060
	18030	9000	林沖	勝利，選角				PC01/PC01_08030.wav	08030
	18040	9000	林沖	失敗，刪角				PC01/PC01_08040.wav	08040
#雷橫音效			雷橫					PC02/PC02_	
#			雷橫					.wav	
	20030	9000	雷橫	移動				PC02/PC02_00030.wav	00030
	22010	9000	雷橫	一般攻擊連招1(未命中)				PC02/PC02_02010.wav	02010
	22020	9000	雷橫	一般攻擊連招2(未命中)				PC02/PC02_02020.wav	02020
	22030	9000	雷橫	一般攻擊連招3(未命中)				PC02/PC02_02030.wav	02030
	22033	9000	雷橫	一般攻擊連招4(未命中)				PC02/PC02_02033.wav	02033
	26010	9000	雷橫	技能-鐵頭功				PC02/PC02_06010.wav	06010
	26020	9000	雷橫	技能-火眼金睛、獅子吼				PC02/PC02_06020.wav	06020
	26030	9000	雷橫	技能-火龍捲				PC02/PC02_06030.wav	06030
	26031	9000	雷橫	技能-閃電視線				PC02/PC02_06031.wav	06031
	26060	9000	雷橫	技能-火焰狂奔				PC02/PC02_06060.wav	06060
	28030	9000	雷橫	勝利，選角				PC02/PC02_08030.wav	08030
	28040	9000	雷橫	失敗，刪角				PC02/PC02_08040.wav	08040
#孫二娘音效			孫二娘					PC03/PC03_	
#			孫二娘					.wav	
	30030	9000	孫二娘	移動				PC03/PC03_00030.wav	00030
	32014	9000	孫二娘	一般攻擊連招1(未命中)				PC03/PC03_02014.wav	02014
	32015	9000	孫二娘	一般攻擊連招2(未命中)				PC03/PC03_02015.wav	02015
	32034	9000	孫二娘	一般攻擊連招3(未命中)				PC03/PC03_02034.wav	02034
	32033	9000	孫二娘	一般攻擊連招4(未命中)				PC03/PC03_02033.wav	02033
	36001	9000	孫二娘	技能1-雷雨漫步				PC03/PC03_06001.wav	06001
	36010	9000	孫二娘	技能2-冰晶鑽石				PC03/PC03_06010.wav	06010
	36020	9000	孫二娘	技能3-冰風暴				PC03/PC03_06020.wav	06020
	36021	9000	孫二娘	技能4-淘氣戀人				PC03/PC03_06021.wav	06021
	36030	9000	孫二娘	技能5-憤怒戀人				PC03/PC03_06030.wav	06030
	36050	9000	孫二娘	技能6-冰晶昇華				PC03/PC03_06050.wav	06050
	38030	9000	孫二娘	勝利，選角				PC03/PC03_08030.wav	08030
	38040	9000	孫二娘	失敗，刪角				PC03/PC03_08040.wav	08040
#戴宗音效			戴宗					PC04/PC04_	
#			戴宗					.wav	
	40030	9000	戴宗	移動				PC04/PC04_00030.wav	00030
	42010	9000	戴宗	一般攻擊連招1(未命中)				PC04/PC04_02010.wav	02010
	42020	9000	戴宗	一般攻擊連招2(未命中)				PC04/PC04_02020.wav	02020
	42030	9000	戴宗	一般攻擊連招3(未命中)				PC04/PC04_02030.wav	02030
	42011	9000	戴宗	一般攻擊連招4(未命中)				PC04/PC04_02011.wav	02011
	46010	9000	戴宗	技能1-七星劍				PC04/PC04_06010.wav	06010
	42021	9000	戴宗	技能2-還我精力腳				PC04/PC04_02021.wav	02021
	46031	9000	戴宗	技能3-連環鏢				PC04/PC04_06031.wav	06031
	46040	9000	戴宗	技能4-亂射				PC04/PC04_06040.wav	06040
	48031	9000	戴宗	技能5-治療法陣				PC04/PC04_08031.wav	08031
	46030	9000	戴宗	穿刺飛鏢	未使用			PC04/PC04_06030.wav	06030
	46050	9000	戴宗	靈魂淨化、聖光洗禮	未使用			PC04/PC04_06050.wav	06050
	48030	9000	戴宗	勝利，選角				PC04/PC04_08030.wav	08030
	48040	9000	戴宗	失敗，刪角				PC04/PC04_08040.wav	08040
#史進音效			史進					PC05/PC05_	
#			史進					.wav	
	50030	9000	史進	移動				PC05/PC05_00030.wav	00030
	52010	9000	史進	一般攻擊連招1(未命中)				PC05/PC05_02010.wav	02010
	52020	9000	史進	一般攻擊連招2(未命中)				PC05/PC05_02020.wav	02020
	52030	9000	史進	一般攻擊連招3(未命中)				PC05/PC05_02030.wav	02030
	52032	9000	史進	一般攻擊連招4(未命中)				PC05/PC05_02032.wav	02032
	56010	9000	史進	九龍鬧海				PC05/PC05_06010.wav	06010
	56020	9000	史進	防禦破壞、烏雲蓋頂				PC05/PC05_06020.wav	06020
	56050	9000	史進	亢龍有悔				PC05/PC05_06050.wav	06050
	56060	9000	史進	老樹盤根				PC05/PC05_06060.wav	06060
	56070	9000	史進	弱化攻擊				PC05/PC05_06070.wav	06070
	58030	9000	史進	勝利，選角				PC05/PC05_08030.wav	08030
	58040	9000	史進	失敗，刪角				PC05/PC05_08040.wav	08040
#李逵音效			李逵					PC06/PC06_	
#			李逵					.wav	
	60030	9000	李逵	移動				PC06/PC06_00030.wav	00030
	62010	9000	李逵	一般攻擊連招1(未命中)				PC06/PC06_02010.wav	02010
	62020	9000	李逵	一般攻擊連招2(未命中)				PC06/PC06_02020.wav	02020
	62030	9000	李逵	一般攻擊連招3(未命中)				PC06/PC06_02030.wav	02030
	62032	9000	李逵	一般攻擊連招4(未命中)				PC06/PC06_02032.wav	02032
	66020	9000	李逵	烈火快斧				PC06/PC06_06020.wav	06020
	66050	9000	李逵	威震八方				PC06/PC06_06050.wav	06050
	66070	9000	李逵	銅牆鐵壁、身強體壯				PC06/PC06_06070.wav	06070
	66080	9000	李逵	野火燎原				PC06/PC06_06080.wav	06080
	66090	9000	李逵	怒火中燒				PC06/PC06_06090.wav	06090
	68030	9000	李逵	勝利，選角				PC06/PC06_08030.wav	08030
	68040	9000	李逵	失敗，刪角				PC06/PC06_08040.wav	08040
#顧大嫂音效			顧大嫂					PC07/PC07_	
#			顧大嫂					.wav	
	70030	9000	顧大嫂	移動				PC07/PC07_00030.wav	00030
	72010	9000	顧大嫂	一般攻擊連招1(未命中)				PC07/PC07_02010.wav	02010
	72020	9000	顧大嫂	一般攻擊連招2(未命中)				PC07/PC07_02020.wav	02020
	72030	9000	顧大嫂	一般攻擊連招3(未命中)				PC07/PC07_02030.wav	02030
	72032	9000	顧大嫂	一般攻擊連招4(未命中)				PC07/PC07_02032.wav	02032
	76010	9000	顧大嫂	激發鬥志				PC07/PC07_06010.wav	06010
	76020	9000	顧大嫂	捨身一擊				PC07/PC07_06020.wav	06020
	76030	9000	顧大嫂	震憾攻擊				PC07/PC07_06030.wav	06030
	76040	9000	顧大嫂	鏡花水月				PC07/PC07_06040.wav	06040
	76050	9000	顧大嫂	怒不可遏				PC07/PC07_06050.wav	06050
	76060	9000	顧大嫂	流星趕月				PC07/PC07_06060.wav	06060
	78030	9000	顧大嫂	勝利，選角				PC07/PC07_08030.wav	08030
	78040	9000	顧大嫂	失敗，刪角				PC07/PC07_08040.wav	08040
#花榮音效			花榮					PC08/PC08_	
#			花榮					.wav	
	80030	9000	花榮	移動				PC08/PC08_00030.wav	00030
	82010	9000	花榮	一般攻擊連招1-4(未命中)				PC08/PC08_02010.wav	02010
	86010	9000	花榮	瞄準射擊				PC08/PC08_06010.wav	06010
	86050	9000	花榮	飛砂箭陣				PC08/PC08_06050.wav	06050
	86060	9000	花榮	震退射擊				PC08/PC08_06060.wav	06060
	86160	9000	花榮	箭雨沙暴				PC08/PC08_06160.wav	06160
	86070	9000	花榮	麻痺陷阱、劇毒陷阱				PC08/PC08_06070.wav	06070
	88030	9000	花榮	勝利，選角				PC08/PC08_08030.wav	08030
	88040	9000	花榮	失敗，刪角				PC08/PC08_08040.wav	08040
#MOB									
#共用類 110000 ~ 900000									
	110020	9000	S逃跑	動物人型(走)				Mob_S\MobWalk_S_00020.wav	
	120020	9000	S逃跑	動物人型(跳)				Mob_S\MobJump_S_00020.wav	
